"alloc1" "alloc2"
"1" 0 3
"2" 1 1
"3" 0 1
"4" 1 1
"5" 0 2
"6" 0 2
"7" 1 2
"8" 1 3
"9" 1 2
"10" 0 1
"11" 0 1
"12" 0 2
"13" 0 3
"14" 1 3
"15" 0 1
"16" 1 3
"17" 1 1
"18" 0 2
"19" 0 2
"20" 1 1
"21" 0 2
"22" 0 2
"23" 0 2
"24" 0 1
"25" 1 2
"26" 1 2
"27" 1 3
"28" 1 3
"29" 0 3
"30" 0 2
"31" 0 2
"32" 0 2
"33" 1 1
"34" 0 1
"35" 1 2
"36" 0 3
"37" 0 2
"38" 0 2
"39" 1 2
"40" 0 1
"41" 0 2
"42" 0 2
"43" 1 1
"44" 1 1
"45" 0 2
"46" 1 2
"47" 1 2
"48" 1 2
"49" 1 3
"50" 0 2
"51" 0 3
"52" 1 1
"53" 0 2
"54" 0 1
"55" 1 1
"56" 1 2
"57" 1 2
"58" 0 3
"59" 0 1
"60" 0 2
"61" 1 2
"62" 1 2
"63" 0 2
"64" 1 1
"65" 1 1
"66" 0 3
"67" 1 2
"68" 1 2
"69" 1 2
"70" 1 1
"71" 1 2
"72" 1 2
"73" 0 3
"74" 0 1
"75" 1 3
"76" 1 3
"77" 1 1
"78" 1 2
"79" 0 3
"80" 1 1
"81" 0 2
"82" 1 2
"83" 1 3
"84" 1 3
"85" 0 1
"86" 0 1
"87" 0 1
"88" 0 1
"89" 1 1
"90" 0 3
"91" 1 3
"92" 1 2
"93" 0 2
"94" 0 2
"95" 1 1
"96" 1 3
"97" 1 1
"98" 1 3
"99" 1 1
"100" 0 3
"101" 1 1
"102" 0 1
"103" 1 1
"104" 1 1
"105" 1 3
"106" 1 2
"107" 0 2
"108" 0 3
"109" 1 3
"110" 0 1
"111" 1 2
"112" 0 2
"113" 1 1
"114" 1 2
"115" 1 3
"116" 1 2
"117" 0 1
"118" 0 1
"119" 0 2
"120" 0 3
"121" 0 1
"122" 1 2
"123" 1 2
"124" 1 3
"125" 0 1
"126" 0 2
"127" 1 2
"128" 0 1
"129" 0 2
"130" 0 1
"131" 1 2
"132" 1 2
"133" 0 1
"134" 0 1
"135" 1 2
"136" 1 1
"137" 0 1
"138" 1 1
"139" 1 3
"140" 1 3
"141" 0 3
"142" 1 2
"143" 1 1
"144" 0 1
"145" 0 3
"146" 0 1
"147" 0 3
"148" 1 3
"149" 0 3
"150" 0 2
"151" 0 2
"152" 0 3
"153" 1 3
"154" 0 2
"155" 1 3
"156" 0 3
"157" 1 2
"158" 0 1
"159" 0 1
"160" 0 1
"161" 1 3
"162" 1 3
"163" 1 1
"164" 1 2
"165" 0 1
"166" 1 1
"167" 0 2
"168" 0 2
"169" 1 3
"170" 1 2
"171" 1 2
"172" 1 1
"173" 1 1
"174" 0 3
"175" 0 2
"176" 0 2
"177" 1 2
"178" 1 2
"179" 0 3
"180" 0 1
"181" 0 3
"182" 0 2
"183" 0 2
"184" 0 1
"185" 0 2
"186" 0 3
"187" 1 2
"188" 1 2
"189" 0 1
"190" 1 3
"191" 0 2
"192" 0 3
"193" 1 3
"194" 1 1
"195" 1 1
"196" 1 2
"197" 1 2
"198" 0 2
"199" 1 3
"200" 0 1
"201" 0 2
"202" 0 2
"203" 0 2
"204" 0 1
"205" 1 2
"206" 1 3
"207" 0 1
"208" 1 1
"209" 1 3
"210" 1 3
"211" 1 1
"212" 1 2
"213" 0 3
"214" 0 2
"215" 1 1
"216" 1 2
"217" 1 1
"218" 1 1
"219" 1 3
"220" 0 3
"221" 1 3
"222" 1 2
"223" 0 3
"224" 0 1
"225" 0 1
"226" 1 2
"227" 1 2
"228" 1 1
"229" 0 2
"230" 1 2
"231" 1 1
"232" 1 3
"233" 1 3
"234" 0 3
"235" 0 1
"236" 1 3
"237" 1 1
"238" 1 3
"239" 1 2
"240" 0 3
"241" 1 2
"242" 0 2
"243" 0 1
"244" 1 3
"245" 0 3
"246" 0 3
"247" 1 1
"248" 1 2
"249" 1 1
"250" 0 2
"251" 1 1
"252" 0 1
"253" 1 2
"254" 1 2
"255" 1 2
"256" 1 2
"257" 0 1
"258" 0 3
"259" 0 3
"260" 1 1
"261" 0 2
"262" 1 2
"263" 1 1
"264" 0 1
"265" 0 2
"266" 1 3
"267" 0 3
"268" 1 2
"269" 1 1
"270" 0 2
"271" 0 2
"272" 0 2
"273" 0 1
"274" 1 1
"275" 1 1
"276" 0 3
"277" 0 2
"278" 1 2
"279" 0 1
"280" 0 2
"281" 1 3
"282" 0 1
"283" 1 3
"284" 1 3
"285" 1 2
"286" 0 1
"287" 0 2
"288" 1 3
"289" 1 2
"290" 1 3
"291" 1 1
"292" 1 2
"293" 0 1
"294" 0 1
"295" 1 2
"296" 0 2
"297" 1 2
"298" 0 3
"299" 0 1
"300" 1 3
"301" 1 3
"302" 0 2
"303" 0 1
"304" 0 2
"305" 1 3
"306" 1 3
"307" 1 3
"308" 1 3
"309" 0 3
"310" 1 1
"311" 1 1
"312" 0 1
"313" 0 1
"314" 1 1
"315" 0 2
"316" 0 2
"317" 1 3
"318" 1 3
"319" 0 1
"320" 1 1
"321" 0 3
"322" 0 1
"323" 1 1
"324" 0 3
"325" 1 3
"326" 1 3
"327" 0 3
"328" 1 2
"329" 1 3
"330" 1 2
"331" 1 2
"332" 1 1
"333" 1 3
"334" 1 3
"335" 1 3
"336" 0 3
"337" 0 3
"338" 0 2
"339" 0 2
"340" 0 1
"341" 0 3
"342" 1 1
"343" 1 3
"344" 1 1
"345" 1 3
"346" 1 1
"347" 0 2
"348" 0 3
"349" 0 1
"350" 1 1
"351" 0 1
"352" 0 1
"353" 0 3
"354" 1 3
"355" 0 1
"356" 0 3
"357" 0 1
"358" 1 2
"359" 1 3
"360" 1 1
"361" 0 2
"362" 1 2
"363" 1 3
"364" 0 2
"365" 0 2
"366" 0 1
"367" 0 1
"368" 1 2
"369" 0 2
"370" 1 2
"371" 1 1
"372" 1 1
"373" 1 2
"374" 1 3
"375" 1 2
"376" 0 1
"377" 1 2
"378" 1 3
"379" 1 3
"380" 1 1
"381" 0 1
"382" 1 1
"383" 1 3
"384" 1 3
"385" 0 3
"386" 0 2
"387" 0 3
"388" 0 2
"389" 1 1
"390" 0 2
"391" 0 1
"392" 0 1
"393" 0 1
"394" 1 1
"395" 1 2
"396" 1 2
"397" 0 1
"398" 0 3
"399" 1 3
"400" 1 2
"401" 0 1
"402" 1 1
"403" 1 2
"404" 1 1
"405" 0 2
"406" 0 1
"407" 1 1
"408" 1 2
"409" 1 2
"410" 0 1
"411" 1 1
"412" 0 1
"413" 1 3
"414" 0 2
"415" 0 2
"416" 0 1
"417" 1 2
"418" 0 3
"419" 0 1
"420" 1 2
"421" 0 1
"422" 0 2
"423" 0 3
"424" 1 1
"425" 0 2
"426" 1 1
"427" 0 2
"428" 0 1
"429" 0 2
"430" 1 2
"431" 1 2
"432" 1 2
"433" 1 1
"434" 1 1
"435" 1 3
"436" 1 3
"437" 1 3
"438" 0 2
"439" 0 2
"440" 1 2
"441" 1 1
"442" 1 2
"443" 0 2
"444" 0 1
"445" 0 1
"446" 0 1
"447" 0 3
"448" 1 1
"449" 1 2
"450" 1 2
"451" 1 3
"452" 0 1
"453" 1 3
"454" 0 1
"455" 0 3
"456" 0 2
"457" 0 3
"458" 1 2
"459" 1 1
"460" 1 1
"461" 1 1
"462" 0 3
"463" 0 3
"464" 1 2
"465" 0 3
"466" 1 3
"467" 1 1
"468" 1 1
"469" 0 1
"470" 1 2
"471" 1 2
"472" 1 2
"473" 0 3
"474" 1 1
"475" 0 1
"476" 1 3
"477" 1 2
"478" 1 1
"479" 1 3
"480" 0 3
"481" 1 3
"482" 0 2
"483" 0 3
"484" 1 3
"485" 0 1
"486" 1 2
"487" 1 1
"488" 0 1
"489" 0 2
"490" 1 3
"491" 0 3
"492" 0 3
"493" 1 3
"494" 0 3
"495" 0 1
"496" 1 2
"497" 0 1
"498" 1 3
"499" 1 1
"500" 0 3
"501" 0 2
"502" 1 3
"503" 0 2
"504" 0 2
"505" 0 3
"506" 1 2
"507" 0 1
"508" 0 1
"509" 0 3
"510" 1 3
"511" 0 3
"512" 0 3
"513" 1 1
"514" 0 3
"515" 0 2
"516" 1 2
"517" 1 2
"518" 1 1
"519" 0 3
"520" 0 2
"521" 1 3
"522" 1 1
"523" 0 3
"524" 0 3
"525" 1 3
"526" 1 1
"527" 1 1
"528" 1 3
"529" 0 1
"530" 0 2
"531" 1 1
"532" 1 3
"533" 0 2
"534" 0 1
"535" 0 3
"536" 0 3
"537" 0 3
"538" 0 3
"539" 1 2
"540" 0 3
"541" 1 2
"542" 1 3
"543" 0 2
"544" 0 2
"545" 1 3
"546" 0 1
"547" 1 3
"548" 1 3
"549" 0 1
"550" 0 2
"551" 1 2
"552" 0 1
"553" 0 2
"554" 0 1
"555" 0 2
"556" 0 2
"557" 1 2
"558" 0 1
"559" 1 3
"560" 0 3
"561" 0 2
"562" 1 2
"563" 1 2
"564" 1 2
"565" 0 1
"566" 0 1
"567" 0 2
"568" 1 2
"569" 1 1
"570" 1 3
"571" 0 2
"572" 1 3
"573" 1 1
"574" 1 3
"575" 1 2
"576" 0 2
"577" 0 1
"578" 1 3
"579" 0 3
"580" 1 2
"581" 0 3
"582" 1 1
"583" 0 1
"584" 1 2
"585" 1 1
"586" 0 3
"587" 1 1
"588" 1 1
"589" 0 1
"590" 1 2
"591" 1 1
"592" 1 3
"593" 1 1
"594" 0 1
"595" 0 1
"596" 0 2
"597" 1 2
"598" 1 3
"599" 0 2
"600" 0 3
"601" 0 1
"602" 0 1
"603" 0 2
"604" 1 2
"605" 0 3
"606" 1 3
"607" 0 2
"608" 0 2
"609" 0 2
"610" 1 3
"611" 0 3
"612" 0 3
"613" 0 1
"614" 1 3
"615" 0 2
"616" 0 1
"617" 1 3
"618" 0 3
"619" 0 2
"620" 1 2
"621" 1 1
"622" 0 1
"623" 0 3
"624" 1 2
